lon,lat
-90.905,28.054
-89.94050321,27.4436491
-89.99295534,27.54646472
-90.0004402,27.6423254
-90.02354328,27.78691618
-90.11836466,27.88549926
-90.17302203,27.92236511
-90.15752704,27.89296556
-89.94538873,27.70816021
-90.17522542,28.02286697
-90.21205311,28.11907727
-90.36003684,28.0460892
-90.42760143,27.9356107
-90.42043586,27.7797645
-90.0775014,27.54466048
-89.72327875,27.30608133
-89.70323653,27.67214264
-89.60252176,27.93892128
-89.56454192,27.74630525
-89.48069647,27.66758883
-89.09483287,27.48077046
-88.64615275,27.20021929
-88.18178394,26.84415458
-87.83944963,26.44833643
-87.54566632,26.10058216
-87.54120307,25.87520239
-87.20338514,25.89104609
-86.86309803,26.10304354
-86.49324694,26.37800765
-86.16612628,26.5318794
-85.9152365,26.5385072
-86.25167656,25.93812853
-86.36446212,25.89524077
-86.22520154,26.4392009
-86.12784309,26.55452712
-86.17637437,26.61142134
-86.21687277,26.53538069
-86.23576001,26.25576949
-86.41709622,25.63066166
-86.57998271,25.75327429
-86.97143518,25.88083858
-87.37775118,25.80470021
-87.96907845,25.80704291
-88.54060041,25.86199507
-88.9987331,25.9017525
-89.26117955,25.84157734
-89.0901921,25.98331215
-88.74156099,25.72483989
-88.72097258,27.11722416
-88.0523118,26.42074055
-87.58468841,26.85267946
-87.25943518,27.24426128
-87.11253274,27.51733404
-87.12818733,27.64017332
-86.77724434,28.16580817
-86.63927832,28.48544598
-86.56881016,28.63485175
-86.40435145,28.58207462
-86.51791437,28.40327111
-86.64055969,28.00190164
-86.77641551,27.2240492
-86.78805083,25.96273463
-86.52271566,26.07780495
-86.10059124,26.20347221
-85.96884093,26.39237687
-85.6825481,26.8216803
-85.63890088,27.07644469
-85.76890892,27.25334592
-85.85799852,27.38467425
-86.1890188,27.4701404
-85.98523043,27.83442881
-85.96952628,27.98180828
-86.33385465,27.94408814
-86.76430052,27.72229473
-87.0551551,27.05099825
-87.41678015,25.82979271
-87.76563597,25.63967439
-88.06834448,25.85236855
-88.39611116,25.82824545
-88.17749805,25.50788221
-87.83954942,25.8001007
-87.98519276,26.07983834
-87.98146013,26.3088196
-87.52009999,26.56515179
-87.01460933,26.77060863
-86.6360741,27.05209741
-86.41999553,27.22604573
-86.43555291,27.29940387
-86.37414263,27.31639756
-86.36718286,27.29050422
-86.24805738,27.2353666
-86.13810694,27.164209
-85.91678827,27.09717119
-85.65428421,27.23088397
-85.84932061,27.17485069
-85.99785219,27.03884589
-86.03141098,27.07380024
-86.14839116,27.01150911
-86.20336748,26.85238851
-86.23704788,26.56836111
-85.84548862,26.71008343
-85.53946312,26.65720945
-85.66965041,26.83685491
-85.72935517,26.95175992
-85.86376959,27.01749609
-85.93135033,27.01029892
-85.92642433,26.91100277
-86.40372823,26.65742228
-86.39466192,26.89727004
-86.53547874,26.97793377
-86.67049182,27.03077021
-86.56856645,27.28204958
-86.99537009,27.50380353
-86.93300762,27.53338263
-86.77990919,27.47109911
-86.83517906,27.34656758
-86.90453279,27.29541844
-87.16281821,27.29806325
-86.91212816,27.33389637
-86.81023668,27.32592729
-86.79011921,27.27066242
-86.7964542,27.12410005
-86.46912269,26.81120812
-86.11239803,26.7221035
-86.00685597,26.88603413
-86.28331129,26.9945989
-86.38953003,27.09543531
-86.80226818,27.11837769
-87.3022775,27.06348206
-87.66754783,26.95370265
-87.884322,26.8026404
-88.21686835,26.88262902
-88.01424692,26.80835663
-87.42377877,26.96961784
-87.50872734,27.17543883
-87.62896398,27.3326993
-87.71680971,27.43769409
-87.82042339,27.47491574
-88.05133983,26.91444907
-87.81243191,27.06857218
-87.38408832,27.45016281
-87.42187082,26.84672171
-86.93711831,26.75821798
-87.20101088,26.68657764
-87.55326158,26.5748021
-87.95024451,26.42837195
-88.21895264,26.40136557
-88.10113042,26.41230393
-87.99543681,26.1419331
-88.2121566,25.96326235
-88.15464456,25.8669216
-88.16632892,25.79295851
-88.20592698,25.70792191
-88.33445185,25.58326196
-88.49468262,25.61997366
-88.46344273,25.6672345
-88.18119125,25.78484189
-88.22702831,25.94605431
-88.27439574,26.06422078
-88.26618403,26.14235035
-87.7836626,26.17298537
-87.4583275,26.19779794
-87.09543256,26.39585781
-86.84779131,26.63648301
-87.00105209,26.7146973
-87.05487184,26.72397027
-87.12853566,26.65625589
-87.09352585,26.48393703
-87.14495697,26.18918297
-87.04051167,26.34131004
-86.77000128,26.48296795
-86.97864719,26.49544329
-87.32974347,26.60940659
-87.64771883,26.62250538
-88.04867219,26.53874758
-88.39344323,26.38531205
-88.3400653,26.17677197
-88.26476176,26.07664429
-88.50649881,26.1344421
-88.54776249,26.0421021
-88.71799446,25.96650807
-88.95989324,25.9365507
-89.13754979,25.99530697
-89.28404167,26.13073233
-89.38181044,26.46895895
-89.50544879,26.7440039
-89.63456849,26.43257762
-90.00702567,26.29841147
-89.81038838,25.95264546
-89.95529431,25.78107844
-89.76117238,25.77804341
-89.38032103,25.89460554
-89.27654532,25.97571437
-89.55252633,26.09308521
-89.61657367,26.14444467
-89.50793899,26.18756325
-89.39159591,26.20284589
-89.37380575,26.18248992
-89.44991263,26.1374657
-89.41199001,26.06901056
-89.39193895,26.07261686
-89.4158653,26.30019525
-89.40062294,26.33071146
-89.38078759,26.43573523
-89.20701296,26.51312844
-89.11222733,26.5490561
-88.8851417,26.55619024
-88.89985433,26.53260572
-88.78186191,26.63597728
-88.54809367,26.81165801
-88.54389445,26.94771128
-88.50336612,27.03756653
-88.49832316,27.08024496
-88.51465142,27.07155166
-88.44210499,27.00049196
-88.44094653,26.88968175
-88.46162952,26.91278149
-88.48042278,27.05081505
-88.46621539,27.24210248
-88.53496849,27.35615743
-88.61491216,27.3786654
-88.70694332,27.30372673
-88.95504366,27.315209
-88.97304103,27.49738174
-88.96237134,27.7533866
-89.40395681,27.71342515
-89.61791749,27.60671117
-89.64663737,27.46970914
-89.76384904,27.28671596
-89.85227848,27.06618268
-89.94630993,26.96861177
-89.50954407,27.17611955
-88.92758408,27.34590867
-88.55165955,27.4661213
-88.36011115,27.52022574
-88.51604055,27.50164614
-88.92309735,27.38270088
-89.48736696,27.18043092
-89.6906576,27.2217053
-89.50816421,27.13728426
-89.47795398,27.29032854
-89.42075088,27.40370544
-89.41912938,27.4716165
-89.35337228,27.48663374
-89.2391114,27.42961049
-89.12052384,27.03106162
-89.24909196,26.88651153
-89.34363748,26.82273012
-89.57630316,27.03868381
-89.73857547,27.04444589
-89.9634981,27.02556765
-90.3536525,26.9410948
-90.85208637,26.77583999
-91.44685736,26.8226402
-92.05647077,26.77087355
-92.63958118,26.41051972
-93.13934234,26.02538612
-93.68633938,25.60461972
-94.14931596,25.17129166
-94.59113724,24.70709851
-95.08649064,24.21943959
-95.45425268,24.02291912
-95.48924614,24.18618797
-95.45061474,24.47685879
-95.52318672,24.42901066
-95.59834189,24.29983701
-95.6360863,24.09284096
-95.67647742,23.836321
-95.85675071,23.64461466
-95.76430626,23.51219204
-95.59102501,23.49699489
-95.55284874,23.54766489
-95.54710363,23.54238348
-95.61853665,23.48370027
-95.69473168,23.37297385
-95.79709611,23.21396475
-95.69701807,22.97333456
-95.82655156,23.10683056
-95.92165691,23.17879197
-95.91690043,23.14646801
-95.89911968,23.07736731
-95.99076506,22.96342217
-96.27919135,22.76155967
-96.87407376,22.84410226
-96.3478587,22.71508663
-96.0444638,22.8168968
-95.95841257,22.93316191
-95.86836274,23.022833
-95.82994485,23.07683833
-95.75634629,23.05790444
-95.69803715,22.93469751
-95.76951219,22.91749039
-95.86248309,22.90786467
-95.89915073,22.90826357
-95.89851879,22.98067089
-95.85531511,23.16888251
-95.77732051,23.30883015
-95.68161701,23.39913122
-95.60925873,23.43407512
-95.4598347,23.61010348
-95.35163529,23.71519686
-95.06602098,24.31946666
-94.84482457,24.9082159
-94.7237331,25.43551388
-94.37583393,25.92149799
-94.10936694,26.35329199
-93.94638475,26.62401332
-93.97738781,26.63385627
-93.74228621,26.83380669
-93.45911118,26.91138204
-92.91669281,27.19948211
-92.4597333,27.41705384
-92.03981944,27.54909115
-91.65251563,27.58429127
-91.35543767,27.70415222
-91.05973649,27.79097883
-90.69047558,27.92571084
-90.48344508,27.84914882
-90.25572573,27.72003139
-90.06900007,27.52197619
-89.8362841,27.22979489
-89.68855371,26.92396124
-89.61673992,26.86947256
-89.50892673,26.89522028
-89.25310331,27.12253159
-89.12643502,27.28614604
-88.93583282,27.39786758
-88.82951342,27.44496984
-88.81422812,27.43818284
-88.83600117,27.38061611
-88.66062387,27.36702261
-88.28321763,27.4333539
-87.97974981,27.50810518
-87.67153077,27.54769435
-87.45793981,27.53758434
-87.27264427,27.47384588
-87.0811669,27.34416483
-86.7849292,27.52352237
-86.41008186,27.98516658
-86.36793585,27.97687164
